time,model,dataset,batch,Loss,Precision,Recall,Accuracy
2022-11-24_22-30-11,CRNN,Validation,1    ,0.72 ,0.69 ,0.60 ,0.87 
2022-11-24_22-31-11,CRNN,Validation,2    ,0.71 ,0.66 ,0.73 ,0.88 
